seconds,state,googleCalls,netflixCalls
1,0.00,103,0
2,0.00,50,0
3,0.00,38,0
4,0.00,26,0
5,0.00,27,0
6,0.00,21,0
7,0.00,17,0
8,0.00,20,0
9,0.00,10,0
10,0.00,12,0
11,0.00,20,0
12,0.00,40,0
13,0.00,21,0
14,0.00,18,0
15,0.00,29,0
16,0.00,21,0
17,0.00,33,0
18,0.00,34,0
19,0.00,22,0
20,0.00,27,0
21,500.00,270,0
22,500.00,931,0
23,500.00,949,0
24,500.00,943,0
25,500.00,942,0
26,500.00,932,0
27,500.00,933,0
28,500.00,937,0
29,500.00,933,0
30,500.00,933,0
31,500.00,923,0
32,500.00,935,0
33,500.00,924,0
34,500.00,931,0
35,500.00,940,0
36,500.00,934,0
37,500.00,926,0
38,500.00,934,0
39,500.00,932,0
40,500.00,912,0
41,500.00,936,0
42,500.00,932,0
43,500.00,914,0
44,500.00,915,0
45,500.00,927,0
46,500.00,923,0
47,500.00,932,0
48,500.00,923,0
49,500.00,936,0
50,500.00,935,0
51,500.00,930,0
52,500.00,938,0
53,500.00,921,0
54,500.00,920,0
55,500.00,922,0
56,500.00,918,0
57,500.00,915,0
58,500.00,920,0
59,500.00,919,0
60,500.00,933,0
61,500.00,912,0
62,500.00,927,0
63,500.00,919,0
64,500.00,932,0
65,500.00,917,0
66,500.00,926,0
67,0.00,929,0
68,0.00,909,0
69,0.00,916,0
70,0.00,887,0
71,0.00,753,0
72,0.00,626,0
73,0.00,516,0
74,0.00,374,0
75,0.00,236,0
76,0.00,73,0
77,0.00,4,0
78,0.00,1,0
79,0.00,1,0
80,0.00,3,0
81,500.00,2,0
82,500.00,17,0
83,500.00,84,0
84,500.00,565,0
85,500.00,924,0
86,500.00,914,0
87,500.00,914,0
88,500.00,921,0
89,500.00,920,0
90,500.00,911,0
91,500.00,923,0
92,500.00,919,0
93,500.00,913,0
94,500.00,919,0
95,500.00,917,0
96,500.00,924,0
97,500.00,926,0
98,0.00,934,0
99,0.00,924,0
100,0.00,922,0
101,0.00,887,0
102,0.00,756,0
103,500.00,663,0
104,500.00,669,0
105,500.00,621,0
106,0.00,566,0
107,0.00,407,0
108,0.00,367,0
109,0.00,424,0
110,500.00,532,0
111,500.00,689,0
112,500.00,872,0
113,500.00,922,0
114,500.00,916,0
115,500.00,909,0
116,500.00,913,0
117,500.00,923,0
118,500.00,908,0
